impl_id,property_id,file_path,revision_label,status,gate_evidence,notes
GUARDFT_01,GUARD_FALLTHROUGH,guard_fallthrough_verdict.py,,SOUND,6/6,"confirmed actually run, see historical_runs.csv"
MALNPM_01,MALICIOUS_NPM_INSTALL_EXFIL,malicious_npm_verdict.py,,SOUND,M1-M13,"confirmed actually run, see historical_runs.csv"
SERDOS_A,UNGUARDED_SERIALIZE_DOS,serialize_dos_verdict.py,"5a, gates/ implementation",SOUND,"S1-S9 self-reported PASS","real run confirmed via .pyc cache"
SERDOS_B,UNGUARDED_SERIALIZE_DOS,adjudicate_js.py (default/hardcoded config),"5b, tchecker-property-adjudicator implementation",SOUND,"end-to-end + real-corpus replay + held-out TS generalization test",FROZEN/production; the most heavily-validated single implementation in this whole inventory -- see historical_runs.csv
VALBYPASS_01,VALIDATION_BYPASS,validation_bypass_verdict.py,,SOUND,"V1-V6 self-reported PASS",not independently re-verified this pass
SSRF_01,SSRF,adjudicate_js.py + property_configs/ssrf_host.json (+3 WebExtension source-variant producers),,SOUND,"3 gates: 9/9 10/10 10/10",""
PATHTRAV_01,PATH_TRAVERSAL,adjudicate_js.py + property_configs/path_traversal_host.json,,UNVERIFIED,"no dedicated frozen/gate doc found in scope",wired but not freshly re-verified this pass
REDOS_01,REDOS,adjudicate_js.py + property_configs/redos_complexity.json,"Stage1-2",SOUND,"Stage1=9/9 Stage2=7/7",FROZEN; real corpus scan, see historical_runs.csv
NOSQLI_01,NOSQLI,adjudicate_js.py + property_configs/nosqli_query_op.json,"Stage1-2",SOUND,"Stage1=10/10 Stage2=9/9",frozen at unit/gate scale; Stage3 corpus-scale sweep incomplete/abandoned with a known unfixed AJV-schema classifier gap -- NOT sound at corpus scale, see historical_runs.csv
CMDINJ_01,COMMAND_INJECTION,"Stage1/2A/2B characterization scripts",,UNSOUND,"no property_configs/*.json, no wiring producer",Stage2A caveated-but-reasonable; Stage2B explicitly self-described as a characterization EXPERIMENT not trusted sanitizer semantics; never promoted to a full adjudicated property
FAILOPEN_01,FAIL_OPEN_SECURITY_CONTROL,adjudicate_fail_open.py,,SOUND,"F1-F8, frozen live-CPG gate",candidate-only by explicit design
LLMOUT_01,LLM_INSECURE_OUTPUT_HANDLING,llm_input_verdict.py,,SOUND,L1-L7,"real-world validated on a deployed RocketChat plugin, see historical_runs.csv"
LLMINJ_01,LLM_PROMPT_INJECTION,llm_input_verdict.py,,SOUND,L1-L7,"same file and gate as LLMOUT_01 -- one implementation file serving two distinct properties"
