90194313216	30064771072	1	TElURVJBTA==	IkR0bHMxM1J0eEFkZEFjayI=		Y2hhcio=	35
30064771104	30064771103	1	Q0FMTA==	dzY0RXF1YWwoZXBvY2gsIGN1ci0+ZXBvY2gp		aW50	54
30064771106	30064771103	2	Q0FMTA==	dzY0TFQoc2VxLCBjdXItPnNlcSk=		aW50	55
68719476754	30064771104	1	SURFTlRJRklFUg==	ZXBvY2g=	ZXBvY2g=	dzY0d3JhcHBlcg==	54
30064771105	30064771104	2	Q0FMTA==	Y3VyLT5lcG9jaA==		QU5Z	54
68719476755	30064771105	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	54
55834574861	30064771105	2	RklFTERfSURFTlRJRklFUg==	ZXBvY2g=			54
68719476756	30064771106	1	SURFTlRJRklFUg==	c2Vx	c2Vx	dzY0d3JhcHBlcg==	55
30064771107	30064771106	2	Q0FMTA==	Y3VyLT5zZXE=		QU5Z	55
68719476757	30064771107	1	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	55
55834574862	30064771107	2	RklFTERfSURFTlRJRklFUg==	c2Vx			55
68719476758	30064771108	1	SURFTlRJRklFUg==	cm4=	cm4=	RHRsczEzUmVjb3JkTnVtYmVyKg==	60
30064771109	30064771108	2	Q0FMTA==	RHRsczEzTmV3UmVjb3JkTnVtYmVyKGVwb2NoLCBzZXEsIHNzbC0+aGVhcCk=		RHRsczEzUmVjb3JkTnVtYmVyKg==	60
68719476759	30064771109	1	SURFTlRJRklFUg==	ZXBvY2g=	ZXBvY2g=	dzY0d3JhcHBlcg==	60
68719476760	30064771109	2	SURFTlRJRklFUg==	c2Vx	c2Vx	dzY0d3JhcHBlcg==	60
30064771110	30064771109	3	Q0FMTA==	c3NsLT5oZWFw		QU5Z	60
68719476761	30064771110	1	SURFTlRJRklFUg==	c3Ns	c3Ns	V09MRlNTTCo=	60
55834574863	30064771110	2	RklFTERfSURFTlRJRklFUg==	aGVhcA==			60
68719476762	30064771111	1	SURFTlRJRklFUg==	cm4=	cm4=	RHRsczEzUmVjb3JkTnVtYmVyKg==	61
68719476763	30064771111	2	SURFTlRJRklFUg==	PHVua25vd24+IE5VTEw=	TlVMTA==	QU5Z	61
30064771113	30064771112	1	Q0FMTA==	JnNzbC0+ZHRsczEzUnR4Lm11dGV4		QU5Z	63
30064771114	30064771113	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHgubXV0ZXg=		QU5Z	63
30064771115	30064771114	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHg=		QU5Z	63
55834574865	30064771114	2	RklFTERfSURFTlRJRklFUg==	bXV0ZXg=			63
68719476764	30064771115	1	SURFTlRJRklFUg==	c3Ns	c3Ns	V09MRlNTTCo=	63
55834574864	30064771115	2	RklFTERfSURFTlRJRklFUg==	ZHRsczEzUnR4			63
90194313219	30064771117	1	TElURVJBTA==	MTI1		aW50	65
30064771119	30064771118	1	Q0FMTA==	KnByZXZOZXh0		QU5Z	68
68719476766	30064771118	2	SURFTlRJRklFUg==	cm4=	cm4=	RHRsczEzUmVjb3JkTnVtYmVyKg==	68
68719476765	30064771119	1	SURFTlRJRklFUg==	cHJldk5leHQ=	cHJldk5leHQ=	RHRsczEzUmVjb3JkTnVtYmVyKio=	68
30064771121	30064771120	1	Q0FMTA==	cm4tPm5leHQ=		QU5Z	69
68719476768	30064771120	2	SURFTlRJRklFUg==	Y3Vy	Y3Vy	RHRsczEzUmVjb3JkTnVtYmVyKg==	69
68719476767	30064771121	1	SURFTlRJRklFUg==	cm4=	cm4=	RHRsczEzUmVjb3JkTnVtYmVyKg==	69
55834574866	30064771121	2	RklFTERfSURFTlRJRklFUg==	bmV4dA==			69
30064771123	30064771122	1	Q0FMTA==	JnNzbC0+ZHRsczEzUnR4Lm11dGV4		QU5Z	71
30064771124	30064771123	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHgubXV0ZXg=		QU5Z	71
30064771125	30064771124	1	Q0FMTA==	c3NsLT5kdGxzMTNSdHg=		QU5Z	71
55834574868	30064771124	2	RklFTERfSURFTlRJRklFUg==	bXV0ZXg=			71
68719476769	30064771125	1	SURFTlRJRklFUg==	c3Ns	c3Ns	V09MRlNTTCo=	71
55834574867	30064771125	2	RklFTERfSURFTlRJRklFUg==	ZHRsczEzUnR4			71
